reactants,products,A,alpha,neg_Ea_R,water_or_pressure_dependent
NO3 + Me2CO,HONO2 + MeCOCH2OO,3.00E-17,0,0,
NO3 + MeCHO,HONO2 + MeCO3,1.40E-12,0,1860,
O(1D) + CH4,HCHO + H2,9.00E-12,0,0,
O(1D) + CH4,OH + MeOO,1.31E-10,0,0,
O(1D) + CO2,O(3P) + CO2,7.50E-11,0,-115,
O(1D) + H2,OH + H,1.20E-10,0,0,
O(1D) + H2O,OH + OH,1.63E-10,0,-60,
O(1D) + HBr,HBr + O(3P),3.00E-11,0,0,
O(1D) + HBr,OH + Br,1.20E-10,0,0,
O(1D) + HCl,H + ClO,3.60E-11,0,0,
O(1D) + HCl,O(3P) + HCl,1.35E-11,0,0,
O(1D) + HCl,OH + Cl,1.01E-10,0,0,
O(1D) + N2,O(3P) + N2,2.15E-11,0,-110,
O(1D) + N2O,N2 + O2,4.60E-11,0,-20,
O(1D) + N2O,NO + NO,7.30E-11,0,-20,
O(1D) + O2,O(3P) + O2,3.30E-11,0,-55,
O(1D) + O3,O2 + O(3P) + O(3P),1.20E-10,0,0,
O(1D) + O3,O2 + O2,1.20E-10,0,0,
O(1D) + CH4,HCHO + HO2 + HO2,3.45E-11,0,0,
O(3P) + BrO,O2 + Br,1.90E-11,0,-230,
O(3P) + ClO,Cl + O2,2.80E-11,0,-85,
O(3P) + ClONO2,ClO + NO3,3.60E-12,0,840,
O(3P) + H2,OH + H,9.00E-18,0,0,
O(3P) + H2O2,OH + HO2,1.40E-12,0,2000,
O(3P) + HBr,OH + Br,5.80E-12,0,1500,
O(3P) + HCHO,OH + CO + HO2,3.40E-11,0,1600,
O(3P) + HCl,OH + Cl,1.00E-11,0,3300,
O(3P) + HO2,OH + O2,2.70E-11,0,-224,
O(3P) + HOCl,OH + ClO,1.70E-13,0,0,
O(3P) + NO2,NO + O2,5.10E-12,0,-210,
O(3P) + NO3,O2 + NO2,1.70E-11,0,0,
O(3P) + O3,O2 + O2,8.00E-12,0,2060,
O(3P) + OClO,O2 + ClO,2.40E-12,0,960,
O(3P) + OH,O2 + H,1.80E-11,0,-180,
O3 + C5H8,0.25*HO2 + 0.25*OH + 0.65*MACR + 0.58*HCHO + 0.1*MACRO2 + 0.1*MeCO3 + 0.08*MeOO + 0.28*HCOOH + 0.14*CO + 0.09*H2O2,9.99E-15,0,1995,
O3 + MACR,0.9*MGLY + 0.45*HCOOH + 0.32*HO2 + 0.22*CO + 0.19*OH + 0.1*MeCO3,4.26E-16,0,1520,
O3 + MACR,0.9*MGLY + 0.45*HCOOH + 0.32*HO2 + 0.22*CO + 0.19*OH + 0.1*MeCO3,7.00E-16,0,2100,
OClO + NO,NO2 + ClO,2.50E-12,0,600,
OH + CH4,H2O + MeOO,2.45E-12,0,1775,
OH + CO,H + CO2,1.44E-13,0,0,pressure_dependent
OH + ClO,HCl + O2,6.00E-13,0,-230,
OH + ClO,HO2 + Cl,7.40E-12,0,-270,
OH + ClONO2,HOCl + NO3,1.20E-12,0,330,
OH + H2,H2O + H,2.80E-12,0,1800,
OH + HBr,H2O + Br,5.50E-12,0,-200,
OH + HCHO,H2O + HO2 + CO,5.40E-12,0,-135,
OH + HCl,H2O + Cl,1.80E-12,0,250,
OH + HO2,H2O + O2,4.80E-11,0,-250,
OH + H2O2,HO2 + H2O,2.90E-12,0,160,
OH + HO2NO2,H2O + NO2 + O2,3.20E-13,0,-690,
OH + HOCl,ClO + H2O,3.00E-12,0,500,
OH + HONO2,H2O + NO3,2.40E-14,0,-460,water_dependent
OH + MeOOH,H2O + MeOO,1.89E-12,0,-190,
OH + NO3,HO2 + NO2,2.20E-11,0,0,
OH + O3,HO2 + O2,1.70E-12,0,940,
OH + OClO,HOCl + O2,1.40E-12,0,-600,
OH + OH,H2O + O(3P),6.31E-14,2.6,-945,
OH + C2H6,H2O + EtOO,6.90E-12,0,1000,
OH + C3H8,i-PrOO + H2O,7.60E-12,0,585,pressure_dependent
OH + C3H8,n-PrOO + H2O,7.60E-12,0,585,pressure_dependent
OH + C5H8,ISO2,2.70E-11,0,-390,
OH + EtCHO,H2O + EtCO3,4.90E-12,0,-405,
OH + EtOOH,H2O + EtOO,1.90E-12,0,-190,
OH + EtOOH,H2O + MeCHO + OH,8.01E-12,0,0,
OH + HACET,MGLY + HO2,1.60E-12,0,-305,
OH + HCOOH,HO2,4.50E-13,0,0,
OH + HONO,H2O + NO2,2.50E-12,0,-260,
OH + ISON,HACET + NALD,1.30E-11,0,0,
OH + ISOOH,MACR + OH,1.00E-10,0,0,
OH + MACR,MACRO2,1.30E-12,0,-610,
OH + MACR,MACRO2,4.00E-12,0,-380,
OH + MACROOH,MACRO2,3.77E-11,0,0,
OH + MGLY,MeCO3 + CO,1.90E-12,0,-575,
OH + MPAN,HACET + NO2,2.90E-11,0,0,
OH + Me2CO,H2O + MeCOCH2OO,1.70E-14,0,-423,
OH + Me2CO,H2O + MeCOCH2OO,8.80E-12,0,1320,
OH + MeCHO,H2O + MeCO3,4.70E-12,0,-345,
OH + MeCO2H,MeOO,8.00E-13,0,0,
OH + MeCO3H,MeCO3,3.70E-12,0,0,
OH + MeCOCH2OOH,H2O + MeCOCH2OO,1.90E-12,0,-190,
OH + MeCOCH2OOH,OH + MGLY,8.39E-12,0,0,
OH + MeOH,HO2 + HCHO,2.85E-12,0,345,
OH + MeONO2,HCHO + NO2 + H2O,4.00E-13,0,845,
OH + MeOOH,H2O + HCHO + OH,2.12E-12,0,-190,
OH + NALD,HCHO + CO + NO2,4.70E-12,0,-345,
OH + PAN,HCHO + NO2 + H2O,3.00E-14,0,0,
OH + PPAN,MeCHO + NO2 + H2O,1.27E-12,0,0,
OH + i-PrOOH,Me2CO + OH,1.66E-11,0,0,
OH + i-PrOOH,i-PrOO + H2O,1.90E-12,0,-190,
OH + n-PrOOH,EtCHO + H2O + OH,1.10E-11,0,0,
OH + n-PrOOH,n-PrOO + H2O,1.90E-12,0,-190,
DMS + OH,SO2,1.20E-11,0,260,
DMS + OH,MSA + SO2,3.04E-12,0,-350,
DMS + NO3,SO2,1.90E-13,0,-500,
DMS + O(3P),SO2,1.30E-11,0,-410,
COS + O(3P),CO + SO2,2.10E-11,0,2200,
COS + OH,CO2 + SO2,1.10E-13,0,1200,
SO2 + O3,SO3,3.00E-12,0,7000,
SO3 + H2O,H2SO4 + H2O,8.50E-41,0,-6540,
Monoterp + OH,0.13*Sec_Org,1.20E-11,0,-444,
Monoterp + O3,0.13*Sec_Org,1.01E-15,0,732,
Monoterp + NO3,0.13*Sec_Org,1.19E-12,0,-925,
